epoch,train_loss,val_loss,val_iou,val_angle,val_success
1,60.077191503471724,56.97707320965841,0.0,80.10002896464702,0.0
2,48.138717663956946,45.411139299640546,0.0,74.6189748868206,0.0
3,35.990824179174986,35.67635753509464,4.604627188640471e-06,75.70107609235635,0.0
4,24.114435168045524,28.267502879916837,0.0026767632669050458,70.93170578320372,0.0
5,18.663468857746764,19.405701649840044,0.2393781090226828,72.3553183080169,0.17890772128060264
6,16.648869163300954,20.797637185134455,0.06964994532353863,62.78978713561137,0.03389830508474576
7,15.893207206528235,19.13122080140195,0.20740064947204256,69.86215607864035,0.1393596986817326
8,15.516721235812131,20.74718024905792,0.09456339015283127,65.85390686225531,0.04896421845574388
9,15.531069949346575,15.87462998334522,0.30979088857712656,56.95671829411483,0.3032015065913371
10,15.068204294336905,16.72470096365431,0.2630654824727521,60.209147447358866,0.2580037664783427
1,60.077191503471724,56.97707320965841,0.0,80.10002896464702,0.0
2,48.138717663956946,45.411139299640546,0.0,74.6189748868206,0.0
3,35.990824179174986,35.67635753509464,4.604627188640471e-06,75.70107609235635,0.0
4,24.114435168045524,28.267502879916837,0.0026767632669050458,70.93170578320372,0.0
5,18.663468857746764,19.405701649840044,0.2393781090226828,72.3553183080169,0.17890772128060264
6,16.648869163300954,20.797637185134455,0.06964994532353863,62.78978713561137,0.03389830508474576
7,15.893207206528235,19.13122080140195,0.20740064947204256,69.86215607864035,0.1393596986817326
8,15.516721235812131,20.74718024905792,0.09456339015283127,65.85390686225531,0.04896421845574388
9,15.531069949346575,15.87462998334522,0.30979088857712656,56.95671829411483,0.3032015065913371
10,15.068204294336905,16.72470096365431,0.2630654824727521,60.209147447358866,0.2580037664783427
1,59.95149395343326,55.96778569338236,0.0,76.31681920950022,0.0
2,47.62393926776057,43.688524307279714,0.0,75.0225235011618,0.0
3,35.61266951176537,32.75583152268117,0.00040444914701462246,74.24674614259303,0.0
4,23.81006952705725,20.985204405703787,0.14883352448724207,71.40643015868696,0.0847457627118644
5,18.306733576097,23.757821282424494,0.028866027855363213,70.51088013310553,0.009416195856873822
6,16.756063985127653,19.47769422585008,0.15225225546546284,67.70505372706359,0.07909604519774012
7,16.253660638171624,17.61359317154534,0.25457633340357383,64.0747989769148,0.2278719397363465
8,15.964446310162938,17.828860570257444,0.3051150262781212,68.4329523256929,0.2391713747645951
9,15.114805971547604,17.205316795018657,0.24175574169209718,62.890472370829514,0.2015065913370998
10,14.710808540840635,17.23465298079726,0.28292983052604115,65.04061201119379,0.21657250470809794
1,60.19096789973797,55.923934843131605,0.0,76.87789163189868,0.0
2,48.06853716219444,46.10328586671761,0.0,77.17839865765329,0.0
3,35.86326014326744,33.540427820381694,1.5739440848450338e-05,70.18216537228187,0.0
4,24.2337745188093,20.158113784933718,0.13499356449691793,66.84964450604498,0.0696798493408663
5,17.97684267701433,19.101303668120934,0.22127676799602958,68.98991377056767,0.15819209039548024
6,16.760040998121635,19.442969510784256,0.20209707521498615,69.3989717720143,0.17325800376647835
7,15.668308621361142,18.054861568012704,0.2428961418682409,65.58148231151077,0.21092278719397364
8,15.553776171341195,17.0348672453742,0.2663376728588249,62.517199642184536,0.2542372881355932
9,15.301919008189358,16.77606822586778,0.23002120574945803,58.42761433736304,0.2015065913370998
10,14.895698963724628,17.56043752034505,0.18023809803242044,59.638819832951114,0.12052730696798493
