epoch,train_loss,val_loss,val_iou,val_angle,val_success
1,64.81092550722879,62.75622247527099,0.0,84.78947135665771,0.0
2,58.55438139045035,57.77990981166803,0.0,85.58248811971794,0.0
3,54.052662793327784,53.22280430479463,0.0,81.85783557972665,0.0
4,50.0391624132189,48.82006046417294,0.0,77.57211261415212,0.0
5,46.109923892550995,44.76715101540201,0.0,76.71533436784188,0.0
6,41.861102978837465,41.27743250282065,5.906164814707786e-05,77.5874077093254,0.0
7,37.77738994303845,36.32785824777492,9.857136677383467e-05,71.95606945508393,0.0
8,33.574146118743144,32.27804194735942,0.0005008472969664263,69.80998786200686,0.0
9,29.544457728355393,28.916637589478,0.006319125166854893,74.20932824194095,0.0
10,26.0152468020821,23.849318631849272,0.020473522135768207,65.62864870495267,0.003766478342749529
