epoch,train_loss,val_loss,val_iou,val_angle,val_success
1,31.665930726853027,23.121841430664062,0.0940857548305373,74.38382529886879,0.013182674199623353
2,21.53571011085996,21.237345977467108,0.2434536494052765,77.19576073658219,0.14124293785310735
3,21.559401307562396,22.27822026110863,0.19046041704370614,81.00636208315578,0.09227871939736347
4,21.1612963615752,21.28793569877323,0.21899155248075464,75.9822393903849,0.10546139359698682
5,20.355076252542986,25.68216650723962,0.039232573689015914,77.11624875715223,0.005649717514124294
6,19.90897543752941,20.477159819809504,0.27730675262118126,76.95254856011289,0.12994350282485875
7,19.264889617732873,20.529749214761452,0.1639718171697447,74.61371681357957,0.07721280602636535
8,19.077268068996144,19.865058370902712,0.19954952525779857,71.80007548228944,0.11864406779661017
9,18.685836044700007,19.94578271711389,0.24516320352624554,72.16958524592627,0.1431261770244821
10,18.45498084032777,21.2179181661085,0.14067276859156486,73.56876792246564,0.062146892655367235
1,31.665930726853027,23.121841430664062,0.0940857548305373,74.38382529886879,0.013182674199623353
2,21.53571011085996,21.237345977467108,0.2434536494052765,77.19576073658219,0.14124293785310735
3,21.559401307562396,22.27822026110863,0.19046041704370614,81.00636208315578,0.09227871939736347
4,21.1612963615752,21.28793569877323,0.21899155248075464,75.9822393903849,0.10546139359698682
5,20.355076252542986,25.68216650723962,0.039232573689015914,77.11624875715223,0.005649717514124294
6,19.90897543752941,20.477159819809504,0.27730675262118126,76.95254856011289,0.12994350282485875
7,19.264889617732873,20.529749214761452,0.1639718171697447,74.61371681357957,0.07721280602636535
8,19.077268068996144,19.865058370902712,0.19954952525779857,71.80007548228944,0.11864406779661017
9,18.685836044700007,19.94578271711389,0.24516320352624554,72.16958524592627,0.1431261770244821
10,18.45498084032777,21.2179181661085,0.14067276859156486,73.56876792246564,0.062146892655367235
