epoch,train_loss,val_loss,val_iou,val_angle,val_success
1,40.011938472252105,29.546429693362132,0.009169865766691076,77.57966989851268,0.0
2,21.89820087023374,25.207944385075972,0.08153868984044423,75.6276451046184,0.022598870056497175
3,22.158337630794545,24.582682227010782,0.09173327504746182,76.8547565546413,0.022598870056497175
4,21.56271908646923,23.42996396856793,0.11776992079947847,73.89836449272889,0.02824858757062147
5,21.31492804403359,25.635385556409588,0.11897785611890709,79.48858189986925,0.005649717514124294
6,nan,nan,0.0,nan,0.0
7,nan,nan,0.0,nan,0.0
8,nan,nan,0.0,nan,0.0
9,nan,nan,0.0,nan,0.0
10,nan,nan,0.0,nan,0.0
1,29.841308033398988,26.138674159507968,0.08560120683162935,80.76040541654253,0.011299435028248588
2,21.31493795793609,23.900806858041193,0.11942392187602713,75.1115636556162,0.03389830508474576
3,21.83703966733426,24.52560431270276,0.0939043321750878,77.26915640750174,0.011299435028248588
4,21.6686137678933,24.493910654789985,0.08192065875348713,72.58118398849574,0.02824858757062147
5,21.673668597377628,25.10478015403963,0.13681239672906848,79.39664385951845,0.02824858757062147
6,nan,nan,0.0,nan,0.0
7,nan,nan,0.0,nan,0.0
8,nan,nan,0.0,nan,0.0
9,nan,nan,0.0,nan,0.0
10,nan,nan,0.0,nan,0.0
1,34.43960717842404,25.516445526295463,0.12302550736816704,76.61084974687651,0.03954802259887006
2,21.275492307156494,24.50239119017865,0.12247814848973632,75.03281254956951,0.05649717514124294
3,21.947816514699472,25.029358901546498,0.0864762249006425,76.22112017162776,0.01694915254237288
4,21.133657638636013,23.427061899907173,0.07163781579458289,70.89184061686198,0.01694915254237288
5,21.999033728561834,27.725058873494465,0.025829540845405483,74.33055302248162,0.0
6,nan,nan,0.0,nan,0.0
7,nan,nan,0.0,nan,0.0
8,nan,nan,0.0,nan,0.0
9,nan,nan,0.0,nan,0.0
10,nan,nan,0.0,nan,0.0
