exp_base,n_seeds,val_success_mean,val_success_std,val_iou_mean,val_iou_std,val_angle_mean,val_angle_std,val_loss_mean,val_loss_std
EXP1_SIMPLE_RGB,3,0.204017,0.057657,0.277215,0.016285,65.840000,14.555662,17.650405,3.314797
EXP2_SIMPLE_RGBD,3,0.190207,0.023142,0.287163,0.017728,72.976667,2.006423,19.527457,0.727394
EXP3_RESNET18_RGB_AUGMENT,3,0.430006,0.007129,0.365482,0.011012,51.420000,3.342155,13.857577,0.728212
EXP4_RESNET18_RGBD,3,0.435656,0.015222,0.348412,0.004963,49.723333,2.215070,13.573322,0.413683
