epoch,train_loss,val_loss,val_iou,val_angle,val_success
1,64.81092550722879,62.75622247527099,0.0,84.78947135665771,0.0
2,58.55438139045035,57.77990981166803,0.0,85.58248811971794,0.0
3,54.052662793327784,53.22280430479463,0.0,81.85783557972665,0.0
4,50.0391624132189,48.82006046417294,0.0,77.57211261415212,0.0
5,46.109923892550995,44.76715101540201,0.0,76.71533436784188,0.0
6,41.861102978837465,41.27743250282065,5.906164814707786e-05,77.5874077093254,0.0
7,37.77738994303845,36.32785824777492,9.857136677383467e-05,71.95606945508393,0.0
8,33.574146118743144,32.27804194735942,0.0005008472969664263,69.80998786200686,0.0
9,29.544457728355393,28.916637589478,0.006319125166854893,74.20932824194095,0.0
10,26.0152468020821,23.849318631849272,0.020473522135768207,65.62864870495267,0.003766478342749529
1,60.484679145219474,56.7745350552144,0.0,79.47912606333159,0.0
2,48.02007819233723,43.098700428188636,0.0,72.92616423319065,0.0
3,35.732323308870065,32.6366120893403,7.0141436092057e-05,71.76916910856681,0.0
4,24.424115430516267,21.721409537248917,0.08021108918270195,70.0341620446374,0.04143126177024482
5,19.140260309725647,31.548935044283247,0.00017737597287453147,81.45356433506066,0.0
6,17.22361078221862,20.265171392264786,0.17417741766532435,74.11885431215251,0.11487758945386065
7,16.67398975413681,18.08953322574019,0.24419371214999938,66.91897614983571,0.1864406779661017
8,16.188611263938807,19.68245820226867,0.22334928216496297,69.97945971018065,0.1657250470809793
9,15.916518001385535,17.911074557546844,0.2715761697620615,65.04177802500864,0.24105461393596986
10,15.053601869711725,17.983090301915976,0.2787288982716368,66.83894367271897,0.2580037664783427
1,60.484679145219474,56.7745350552144,0.0,79.47912606333159,0.0
2,48.02007819233723,43.098700428188636,0.0,72.92616423319065,0.0
3,35.732323308870065,32.6366120893403,7.0141436092057e-05,71.76916910856681,0.0
4,24.424115430516267,21.721409537248917,0.08021108918270195,70.0341620446374,0.04143126177024482
5,19.140260309725647,31.548935044283247,0.00017737597287453147,81.45356433506066,0.0
6,17.22361078221862,20.265171392264786,0.17417741766532435,74.11885431215251,0.11487758945386065
7,16.67398975413681,18.08953322574019,0.24419371214999938,66.91897614983571,0.1864406779661017
8,16.188611263938807,19.68245820226867,0.22334928216496297,69.97945971018065,0.1657250470809793
9,15.916518001385535,17.911074557546844,0.2715761697620615,65.04177802500864,0.24105461393596986
10,15.053601869711725,17.983090301915976,0.2787288982716368,66.83894367271897,0.2580037664783427
